sep=,
time,in,out
1679889600,43519,70171
1679882400,52172,96337
1679875200,113818,259774
1679868000,148326,300596
1679860800,198195,383997
1679853600,215519,346745
1679846400,268050,422667
1679839200,303749,452536
1679832000,280060,366214
1679824800,228455,352154
1679817600,133761,339773
1679810400,73777,185147
1679803200,71117,131772
1679796000,86917,211894
1679788800,156125,297074
1679781600,239840,380245
1679774400,266265,408281
1679767200,302828,472461
1679760000,322522,391814
1679752800,384142,777343
1679745600,367899,616946
1679738400,292286,438345
1679731200,116020,218701
1679724000,50260,99408
1679716800,55873,98078
1679709600,86175,171317
1679702400,132408,236451
1679695200,231558,360604
1679688000,430061,607531
1679680800,553776,752295
1679673600,667201,855067
1679666400,689400,899744
1679659200,827443,1033391
1679652000,533506,820142
1679644800,129042,272642
1679637600,51666,81921
1679630400,57012,103100
1679623200,114814,217179
1679616000,153019,223505
1679608800,200914,312422
1679601600,301870,437790
1679594400,570429,845612
1679587200,697784,955053
1679580000,778742,1079642
1679572800,713412,1080940
1679565600,540399,853326
1679558400,126249,238848
1679551200,56656,89747
1679544000,67960,107598
1679536800,68153,201741
1679529600,127898,254958
1679522400,220937,311320
1679515200,390310,814006
1679508000,580033,818127
1679500800,692154,940278
1679493600,688862,940278
1679486400,771185,1037927
1679479200,562807,872148
1679472000,118648,238965
1679464800,47888,117094
1679457600,42879,85946
1679450400,68812,150412
1679443200,125693,223275
1679436000,225564,363477
1679428800,356473,563604
1679421600,598158,791370
1679414400,724784,1013811
1679407200,774897,1008201
1679400000,903950,1186664
1679392800,608288,952541
1679385600,141613,316083
1679378400,48801,114498
1679371200,49619,96473
1679364000,67870,159530
1679356800,108405,265428
1679349600,240442,456355
1679342400,356671,586591
1679335200,634453,1006575
1679328000,842494,1112250
1679320800,834045,1137031
1679313600,996572,1210470
1679306400,635590,959535
1679299200,136873,275140
1679292000,42807,96389
1679284800,58492,99392
1679277600,72440,140344
1679270400,113832,503055
1679263200,214829,503055
1679256000,224067,308903
1679248800,233186,370759
1679241600,245282,632116
1679234400,256517,345557
1679227200,224821,305212
1679220000,211770,304867
1679212800,85432,163177
1679205600,55716,131414
1679198400,53501,119714
1679191200,79878,194078
1679184000,128635,227135
1679176800,177924,315784
1679169600,238231,373777
1679162400,275820,402330
1679155200,310821,481762
1679148000,323059,644395
1679140800,350705,453182
1679133600,265633,423736
1679126400,102790,191287
1679119200,60070,272639
1679112000,55721,140410
1679104800,79543,140939
1679097600,166197,287091
1679090400,252417,367681
1679083200,354978,463661
1679076000,530106,980022
1679068800,715150,980022
1679061600,771534,1276532
1679054400,776990,983235
1679047200,593535,869375
1679040000,157490,315393
1679032800,65888,126069
1679025600,52950,109286
1679018400,94973,149769
1679011200,143246,264131
1679004000,240835,363716
1678996800,410041,624692
1678989600,584472,755185
1678982400,663118,888660
1678975200,800940,1011216
1678968000,833346,1080543
1678960800,664392,975651
1678953600,121174,277076
1678946400,52198,118421
1678939200,60086,90874
1678932000,72809,120719
1678924800,139137,336074
1678917600,279224,495210
1678910400,436243,610077
1678903200,756511,931543
1678896000,832204,1097403
1678888800,827095,1024143
1678881600,899499,1114171
1678874400,762977,1138411
1678867200,155989,340716
1678860000,51145,105254
1678852800,55531,108318
1678845600,59469,185700
1678838400,181528,309541
1678831200,250619,463754
1678824000,436026,647108
1678816800,680800,894668
1678809600,810113,1030590
1678802400,861952,1147636
1678795200,926713,1302876
1678788000,748513,1149171
1678780800,139519,266616
1678773600,42918,88139
1678766400,55238,124687
1678759200,55889,135542
1678752000,165113,341106
1678744800,240370,330910
1678737600,395862,548865
1678730400,701036,1018143
1678723200,864094,1072893
1678716000,849538,1092545
1678708800,1018659,1257272
1678701600,744335,1114383
1678694400,141943,328352
1678687200,44851,94642
1678680000,57419,98061
1678672800,58198,127603
1678665600,113175,213929
1678658400,175495,280117
1678651200,249236,374056
1678644000,248303,397054
1678636800,264714,354910
1678629600,300093,408069
1678622400,300738,430389
1678615200,285249,438836
1678608000,95891,208894
1678600800,65373,145256
1678593600,68761,145873
1678586400,87963,161612
1678579200,129722,200379
1678572000,215794,344847
1678564800,342977,440455
1678557600,409182,544962
1678550400,395836,533020
1678543200,402931,594974
1678536000,394118,534070
1678528800,366930,550423
1678521600,137037,336463
1678514400,70317,127922
1678507200,73515,129487
1678500000,104182,206257
1678492800,195487,305867
1678485600,348958,510214
1678478400,492897,773206
1678471200,684559,861397
1678464000,764987,966267
1678456800,724801,1113555
1678449600,837535,1143647
1678442400,597077,853118
1678435200,158374,282892
1678428000,60122,157802
1678420800,67773,132705
1678413600,89350,211498
1678406400,189942,301122
1678399200,279238,492675
1678392000,433265,639096
1678384800,621881,841290
1678377600,786410,1025393
1678370400,853153,1177712
1678363200,904749,1239061
1678356000,634355,1005147
1678348800,148024,333990
1678341600,46421,104515
1678334400,49127,88190
1678327200,76394,134045
1678320000,143059,249285
1678312800,228693,357941
1678305600,466755,719168
1678298400,653149,877299
1678291200,817868,1154261
1678284000,856550,1154261
1678276800,937592,1144693
1678269600,767724,1304883
1678262400,188950,443947
1678255200,43648,68180
1678248000,57984,97546
1678240800,87655,140408
1678233600,179997,340814
1678226400,347192,518825
1678219200,491108,668056
1678212000,687034,966310
1678204800,756286,972652
1678197600,816820,1083686
1678190400,823463,1026843
1678183200,634739,918203
1678176000,140181,254173
1678168800,50527,94668
1678161600,58848,120456
1678154400,71254,145643
1678147200,138319,262417
1678140000,277364,415485
1678132800,433865,754594
1678125600,755213,1011212
1678118400,934186,1167753
1678111200,912857,1443280
1678104000,1151735,1454925
1678096800,625000,1058456
1678089600,113762,255575
1678082400,45306,118035
1678075200,42540,95220
1678068000,64530,113936
